cluster,cluster_name,method_a,method_b,fraction,mean_iou,median_iou,mean_overlap_fraction,mean_score_drop_a,mean_score_drop_b,n_samples,n_datasets
0,High-frequency / high-curvature,shapley_sampling,feature_ablation,0.2,0.33411572199730094,0.0,0.37239583333333337,0.2589284714618828,0.22128394318824446,160,8
0,High-frequency / high-curvature,shapley_sampling,mrsqm,0.05,0.08125,0.0,0.08125,0.10101565745059422,0.021384107647968168,160,8
0,High-frequency / high-curvature,shapley_sampling,mrsqm,0.1,0.13541666666666669,0.0,0.14375,0.19266201489072882,0.05818628418824755,160,8
0,High-frequency / high-curvature,shapley_sampling,mrsqm,0.2,0.19654761904761903,0.0,0.21982230392156862,0.2589284714618828,0.1150556912340542,160,8
0,High-frequency / high-curvature,shapley_sampling,tshap_centroid,0.05,0.11038125356280845,0.0,0.13675006585879873,0.10101565745059422,0.1999309501806022,160,8
0,High-frequency / high-curvature,shapley_sampling,tshap_centroid,0.1,0.1359955649625979,0.0,0.17010587619751097,0.19266201489072882,0.1995890329661426,160,8
0,High-frequency / high-curvature,shapley_sampling,tshap_centroid,0.2,0.20646890674789833,0.0,0.24439699027442024,0.2589284714618828,0.20382415915892144,160,8
0,High-frequency / high-curvature,shapley_sampling,tshap_train,0.05,0.06559764780647621,0.0,0.08970869189790423,0.10101565745059422,0.19051980770981525,160,8
0,High-frequency / high-curvature,shapley_sampling,tshap_train,0.1,0.14081632861191246,0.0,0.16881209709911363,0.19266201489072882,0.28968756978096166,160,8
0,High-frequency / high-curvature,shapley_sampling,tshap_train,0.2,0.2050160153426846,0.0,0.2525432432961769,0.2589284714618828,0.36455251607604156,160,8
0,High-frequency / high-curvature,shapley_sampling,tshap_zero,0.05,0.05004498674015917,0.0,0.06108770928462709,0.10101565745059422,0.14217335884247753,160,8
0,High-frequency / high-curvature,shapley_sampling,tshap_zero,0.1,0.10401155637738595,0.0,0.1212384641642045,0.19266201489072882,0.22691469417881333,160,8
0,High-frequency / high-curvature,shapley_sampling,tshap_zero,0.2,0.18558201233833643,0.0,0.23166998500313368,0.2589284714618828,0.22950339895226274,160,8
0,High-frequency / high-curvature,tshap_centroid,mrsqm,0.05,0.0,0.0,0.0,0.1999309501806022,0.021384107647968168,160,8
0,High-frequency / high-curvature,tshap_centroid,mrsqm,0.1,0.06441469901137653,0.0,0.09731792237442922,0.1995890329661426,0.05818628418824755,160,8
0,High-frequency / high-curvature,tshap_centroid,mrsqm,0.2,0.1949254949513372,0.0,0.232996028348554,0.20382415915892144,0.1150556912340542,160,8
0,High-frequency / high-curvature,tshap_centroid,tshap_train,0.05,0.2554286375945911,0.0,0.2810330098934551,0.1999309501806022,0.19051980770981525,160,8
0,High-frequency / high-curvature,tshap_centroid,tshap_train,0.1,0.23730870801528905,0.0,0.2715868419285522,0.1995890329661426,0.28968756978096166,160,8
