dataset,sample_idx,reference_seed,compared_seed,pearson,spearman,top_window_iou
CricketX,17,42,45,0.7182830746273476,0.709717219080212,0.7647058823529411
CricketX,17,42,46,0.7129042952895253,0.687830309225658,0.9354838709677419
CricketX,18,42,43,0.6414358179997379,0.6111912354581718,0.875
CricketX,18,42,44,0.6568231336663932,0.6573770819675774,0.875
CricketX,18,42,45,0.6721460121451371,0.6389177657529527,0.875
CricketX,18,42,46,0.5043363500598355,0.48913387926532514,0.0
CricketX,19,42,43,0.8674751343295501,0.7989613217924643,0.875
CricketX,19,42,44,0.8794674854466071,0.8005426726963633,0.7647058823529411
CricketX,19,42,45,0.8623342221469601,0.7884603162257359,0.7142857142857143
CricketX,19,42,46,0.8783585877956603,0.8207744530494784,0.7142857142857143
CricketX,20,42,43,0.8958641188633584,0.8610980122001354,0.6666666666666666
CricketX,20,42,44,0.8936588443913682,0.8487943199368881,1.0
CricketX,20,42,45,0.8836679422409416,0.8373924154712828,1.0
CricketX,20,42,46,0.8900051567007399,0.8425138057089524,1.0
CricketX,22,42,43,0.7417818744980186,0.7275449727219191,1.0
CricketX,22,42,44,0.6849115089336402,0.6664834053711708,0.42857142857142855
CricketX,22,42,45,0.736444446029624,0.7251422793586595,0.4634146341463415
CricketX,22,42,46,0.6571673459602765,0.6454236158179535,0.7647058823529411
